epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.495,1.06131,2.06412,1.27377,0.9675,0.38019,0.55669,0.41888,0.89142,2.40218,1.1662,0.000541419,0.000541419,0.000541419
2,33.269,0.92203,1.14465,1.14735,0.6978,0.61446,0.71964,0.50101,1.04662,1.8513,1.28105,0.00108351,0.00108351,0.00108351
3,47.6734,0.90806,1.04616,1.1466,0.83536,0.76322,0.84354,0.61995,1.0277,1.35465,1.26769,0.00161185,0.00161185,0.00161185
4,62.1654,0.91408,0.96952,1.1281,0.77526,0.80083,0.80902,0.61217,0.92025,1.34219,1.20077,0.00160511,0.00160511,0.00160511
5,76.5428,0.86909,0.89623,1.11278,0.79418,0.82573,0.86534,0.64678,0.88464,1.1376,1.14725,0.00158448,0.00158448,0.00158448
6,90.7014,0.85728,0.85702,1.10948,0.91001,0.85348,0.92672,0.70338,0.86101,0.89437,1.12767,0.00156385,0.00156385,0.00156385
7,104.76,0.83448,0.80081,1.09456,0.85663,0.8438,0.90756,0.71194,0.82531,0.93657,1.09485,0.00154323,0.00154323,0.00154323
8,119.177,0.81925,0.73582,1.07135,0.94015,0.88079,0.94051,0.754,0.76124,0.71659,1.06238,0.0015226,0.0015226,0.0015226
9,132.961,0.81098,0.73909,1.08176,0.93455,0.87131,0.92654,0.72829,0.78673,0.75503,1.0836,0.00150197,0.00150197,0.00150197
10,147.281,0.77873,0.70234,1.0756,0.90287,0.90198,0.94975,0.74229,0.77613,0.69516,1.05439,0.00148134,0.00148134,0.00148134
11,161.07,0.78696,0.67919,1.06044,0.91792,0.91413,0.95366,0.7662,0.75619,0.68728,1.05491,0.00146071,0.00146071,0.00146071
12,173.943,0.77383,0.6742,1.06368,0.93131,0.90116,0.94234,0.76019,0.76695,0.63394,1.06135,0.00144008,0.00144008,0.00144008
13,187.763,0.74459,0.64724,1.04747,0.90918,0.88303,0.93187,0.73464,0.79277,0.70825,1.07688,0.00141945,0.00141945,0.00141945
14,202.319,0.74996,0.64952,1.04924,0.95162,0.90116,0.95653,0.76221,0.74097,0.61473,1.0436,0.00139882,0.00139882,0.00139882
15,216.037,0.73261,0.60685,1.03735,0.91359,0.88056,0.93261,0.72949,0.79593,0.64892,1.05613,0.00137819,0.00137819,0.00137819
16,231.128,0.74177,0.61217,1.03997,0.92756,0.90444,0.95936,0.78648,0.71259,0.56756,1.02684,0.00135756,0.00135756,0.00135756
17,246.461,0.72026,0.59539,1.03069,0.95232,0.90257,0.95772,0.78211,0.71979,0.57731,1.03324,0.00133693,0.00133693,0.00133693
18,260.632,0.72386,0.59811,1.03329,0.89125,0.91155,0.94954,0.77324,0.71159,0.6179,1.03428,0.0013163,0.0013163,0.0013163
19,276.01,0.72779,0.58123,1.01965,0.94522,0.91875,0.95958,0.79123,0.69927,0.53821,1.01438,0.00129568,0.00129568,0.00129568
20,290.982,0.6963,0.56159,1.01629,0.92644,0.91999,0.96121,0.78708,0.69975,0.53869,1.01442,0.00127505,0.00127505,0.00127505
21,305.241,0.69707,0.55646,1.03061,0.94818,0.92118,0.9615,0.80285,0.66493,0.50963,0.98673,0.00125442,0.00125442,0.00125442
22,320.006,0.69771,0.55346,1.01749,0.95325,0.90872,0.95944,0.7971,0.66317,0.51706,0.98514,0.00123379,0.00123379,0.00123379
23,334.584,0.69989,0.55112,1.03001,0.94293,0.90933,0.95662,0.78309,0.70323,0.60707,1.01778,0.00121316,0.00121316,0.00121316
24,348.271,0.70722,0.54591,1.02814,0.943,0.92531,0.96639,0.7966,0.70181,0.50157,1.00423,0.00119253,0.00119253,0.00119253
25,362.59,0.68032,0.52167,1.00693,0.93407,0.92031,0.96023,0.80152,0.67047,0.48351,0.99029,0.0011719,0.0011719,0.0011719
26,376.688,0.68339,0.51677,1.0121,0.94173,0.91015,0.95701,0.79078,0.68283,0.52511,1.00095,0.00115127,0.00115127,0.00115127
27,391.817,0.67304,0.51965,1.00875,0.94972,0.91947,0.96502,0.79554,0.68459,0.49508,0.99156,0.00113064,0.00113064,0.00113064
28,405.521,0.66609,0.51485,1.00973,0.95673,0.91798,0.96318,0.80664,0.66405,0.47853,0.99713,0.00111001,0.00111001,0.00111001
29,420.408,0.66274,0.50744,1.01241,0.95695,0.90026,0.96227,0.78025,0.68857,0.4995,1.01499,0.00108938,0.00108938,0.00108938
30,434.746,0.65708,0.49088,0.99888,0.94286,0.93155,0.9693,0.80559,0.67715,0.48173,0.99333,0.00106876,0.00106876,0.00106876
31,449.38,0.67056,0.49768,1.00492,0.93572,0.90897,0.95836,0.80803,0.66292,0.50116,0.99418,0.00104813,0.00104813,0.00104813
32,463.833,0.65533,0.49181,0.98701,0.95215,0.91171,0.96757,0.80702,0.66612,0.47254,0.99246,0.0010275,0.0010275,0.0010275
33,477.828,0.65939,0.49123,1.00019,0.9363,0.92959,0.96128,0.80692,0.66137,0.46248,0.9831,0.00100687,0.00100687,0.00100687
34,492.803,0.64216,0.47741,0.99173,0.95011,0.91999,0.96447,0.79986,0.67107,0.46572,0.99381,0.000986239,0.000986239,0.000986239
35,507.05,0.64197,0.46702,0.99129,0.95588,0.92916,0.97232,0.81421,0.65285,0.43772,0.98424,0.00096561,0.00096561,0.00096561
36,521.372,0.62931,0.45514,0.98136,0.93884,0.93473,0.96283,0.8049,0.65535,0.44836,0.98398,0.000944981,0.000944981,0.000944981
37,535.725,0.64384,0.47285,0.99023,0.95024,0.92994,0.969,0.80966,0.65034,0.44654,0.98022,0.000924352,0.000924352,0.000924352
38,549.69,0.62737,0.45893,0.98456,0.95429,0.93194,0.96549,0.79755,0.66036,0.45575,0.98884,0.000903722,0.000903722,0.000903722
39,563.234,0.64455,0.45773,0.99354,0.95555,0.93782,0.96665,0.82062,0.63797,0.42484,0.96594,0.000883093,0.000883093,0.000883093
40,577.238,0.62879,0.43972,0.9764,0.97136,0.92934,0.96839,0.82185,0.64064,0.42501,0.9781,0.000862464,0.000862464,0.000862464
41,592.657,0.61919,0.43704,0.97493,0.95925,0.91049,0.95833,0.805,0.65781,0.43993,0.99186,0.000841835,0.000841835,0.000841835
42,606.394,0.62534,0.44641,0.98229,0.9522,0.91474,0.96919,0.82363,0.62931,0.43887,0.9752,0.000821206,0.000821206,0.000821206
43,620.967,0.60268,0.42809,0.977,0.96603,0.93148,0.97537,0.82102,0.63633,0.40882,0.96809,0.000800577,0.000800577,0.000800577
44,635.349,0.62003,0.43557,0.98811,0.95921,0.93125,0.97399,0.83004,0.61757,0.41096,0.95904,0.000779948,0.000779948,0.000779948
45,650.236,0.60984,0.42682,0.97111,0.94899,0.92355,0.95998,0.81289,0.62105,0.44259,0.96321,0.000759318,0.000759318,0.000759318
46,664.756,0.60255,0.42851,0.97382,0.94123,0.92118,0.95192,0.7924,0.6492,0.46491,0.98842,0.000738689,0.000738689,0.000738689
47,678.53,0.59554,0.41503,0.96486,0.96383,0.92025,0.96874,0.82532,0.63026,0.40837,0.96177,0.00071806,0.00071806,0.00071806
48,693.597,0.58404,0.41573,0.96108,0.95055,0.92988,0.96337,0.82527,0.62375,0.40985,0.96062,0.000697431,0.000697431,0.000697431
49,708.098,0.58772,0.40331,0.96938,0.96108,0.93983,0.96586,0.82695,0.61714,0.40949,0.95238,0.000676802,0.000676802,0.000676802
50,721.942,0.588,0.40819,0.96842,0.96236,0.93509,0.97073,0.82753,0.611,0.40018,0.94376,0.000656173,0.000656173,0.000656173
51,736.596,0.59408,0.40899,0.96974,0.96365,0.93562,0.96786,0.82144,0.62228,0.40235,0.96603,0.000635544,0.000635544,0.000635544
52,750.032,0.5786,0.40251,0.9643,0.96713,0.93616,0.97271,0.82903,0.61822,0.39945,0.96411,0.000614915,0.000614915,0.000614915
53,764.268,0.57704,0.39972,0.96482,0.96171,0.94457,0.97234,0.82807,0.60944,0.39749,0.95403,0.000594286,0.000594286,0.000594286
54,778.745,0.57042,0.40023,0.96034,0.96806,0.9326,0.97244,0.83542,0.59987,0.38661,0.94662,0.000573656,0.000573656,0.000573656
55,793.039,0.56905,0.39235,0.95683,0.96293,0.91963,0.97341,0.83577,0.59879,0.39068,0.94564,0.000553027,0.000553027,0.000553027
56,808.247,0.56493,0.38578,0.96031,0.96581,0.93283,0.9724,0.83058,0.60456,0.39082,0.94973,0.000532398,0.000532398,0.000532398
57,822.473,0.56373,0.38717,0.95187,0.94605,0.94495,0.97037,0.83746,0.59892,0.39443,0.95356,0.000511769,0.000511769,0.000511769
58,837.108,0.556,0.3828,0.95341,0.96199,0.93448,0.97119,0.83054,0.60992,0.38754,0.95889,0.00049114,0.00049114,0.00049114
59,851.728,0.54774,0.37883,0.94457,0.963,0.9374,0.97119,0.83212,0.6079,0.39332,0.96961,0.000470511,0.000470511,0.000470511
60,866.027,0.55199,0.37601,0.94622,0.97862,0.93719,0.97651,0.84117,0.59611,0.36469,0.95235,0.000449882,0.000449882,0.000449882
61,880.81,0.55557,0.37772,0.95142,0.97798,0.94073,0.97498,0.83854,0.60081,0.36277,0.95729,0.000429253,0.000429253,0.000429253
62,894.355,0.55538,0.38026,0.94701,0.95682,0.93909,0.96981,0.82576,0.61817,0.37921,0.96914,0.000408623,0.000408623,0.000408623
63,908.85,0.55789,0.37644,0.94253,0.96155,0.93531,0.9641,0.82826,0.59944,0.37269,0.95634,0.000387994,0.000387994,0.000387994
64,922.094,0.55133,0.37117,0.94215,0.95987,0.94694,0.96843,0.83612,0.58816,0.36611,0.94578,0.000367365,0.000367365,0.000367365
65,936.309,0.54667,0.36942,0.94516,0.96226,0.93983,0.97456,0.84259,0.59196,0.36531,0.94778,0.000346736,0.000346736,0.000346736
66,951.231,0.54109,0.36298,0.9416,0.96411,0.93394,0.96737,0.83371,0.59383,0.37272,0.95619,0.000326107,0.000326107,0.000326107
67,965.892,0.53816,0.36549,0.95287,0.96247,0.92529,0.96646,0.831,0.60697,0.37447,0.95744,0.000305478,0.000305478,0.000305478
68,980.295,0.52411,0.35441,0.93769,0.96076,0.9446,0.97069,0.84083,0.59017,0.36319,0.95253,0.000284849,0.000284849,0.000284849
69,995.266,0.53688,0.35831,0.94892,0.96712,0.93636,0.96704,0.83811,0.59052,0.36498,0.95336,0.00026422,0.00026422,0.00026422
70,1009.77,0.52563,0.34839,0.93707,0.9711,0.93112,0.97063,0.83458,0.59466,0.36482,0.95197,0.00024359,0.00024359,0.00024359
71,1026.37,0.46979,0.30817,0.91243,0.95386,0.94812,0.9728,0.82544,0.60448,0.3722,0.95399,0.000222961,0.000222961,0.000222961
72,1040.05,0.47691,0.30234,0.91315,0.96052,0.94656,0.97099,0.84326,0.57358,0.35893,0.93732,0.000202332,0.000202332,0.000202332
73,1054.5,0.4566,0.28536,0.90645,0.96947,0.94,0.96739,0.83935,0.58648,0.35593,0.94824,0.000181703,0.000181703,0.000181703
74,1067.94,0.4532,0.28669,0.88954,0.97214,0.93694,0.97013,0.83099,0.59911,0.35417,0.95843,0.000161074,0.000161074,0.000161074
75,1081.53,0.45091,0.28125,0.89146,0.96563,0.94382,0.97017,0.84226,0.58727,0.34892,0.94966,0.000140445,0.000140445,0.000140445
76,1093.89,0.44371,0.28016,0.88646,0.95472,0.95049,0.96892,0.84321,0.58152,0.35274,0.94136,0.000119816,0.000119816,0.000119816
77,1107.64,0.44589,0.28155,0.89849,0.96611,0.94365,0.97048,0.84263,0.57579,0.34994,0.94339,9.91865e-05,9.91865e-05,9.91865e-05
78,1121.39,0.43139,0.26935,0.87654,0.96476,0.93946,0.96788,0.84318,0.57927,0.34847,0.94423,7.85574e-05,7.85574e-05,7.85574e-05
79,1135.75,0.42864,0.26819,0.88436,0.96073,0.94694,0.9668,0.84593,0.57653,0.34405,0.94493,5.79283e-05,5.79283e-05,5.79283e-05
80,1149.62,0.4281,0.26655,0.88703,0.96741,0.94575,0.97244,0.84714,0.57496,0.34116,0.9439,3.72991e-05,3.72991e-05,3.72991e-05
